"appid","name","playtime_forever","rtime_last_played"
220,"Half-Life 2",0,0
320,"Half-Life 2: Deathmatch",0,0
360,"Half-Life Deathmatch: Source",0,0
400,"Portal",0,0
440,"Team Fortress 2",0,0
550,"Left 4 Dead 2",112,1388143619
1250,"Killing Floor",2381,1517112673
3830,"Psychonauts",2345,1517110564
3910,"Sid Meier's Civilization III: Complete",0,0
4560,"Company of Heroes - Legacy Edition",0,0
6100,"Eets",0,0
7760,"X-COM: UFO Defense",0,0
8930,"Sid Meier's Civilization V",1330,1519436886
8980,"Borderlands GOTY",2,1554421433
9480,"Saints Row 2",23,1495542732
12750,"GRID",0,0
15700,"Oddworld: Abe's Oddysee",210,1515310868
18820,"Zero Gear",213,1516982682
19680,"Alice: Madness Returns",1,1495542874
22610,"Alien Breed: Impact",0,0
25000,"Overgrowth",452,1523036213
34010,"Alpha Protocol",0,0
34270,"SEGA Mega Drive & Genesis Classics",291,1523007169
34330,"Total War: SHOGUN 2",0,0
35420,"Killing Floor Mod: Defence Alliance 2",0,0
35450,"Rising Storm/Red Orchestra 2 Multiplayer",2402,1517110564
35720,"Trine 2",309,1395161837
38400,"Fallout",0,0
40990,"Mafia",0,0
42120,"Lead and Gold - Gangs of the Wild West",0,0
43110,"Metro 2033",0,0
44350,"GRID 2",552,1392061461
49520,"Borderlands 2",0,0
50300,"Spec Ops: The Line",0,0
55100,"Homefront",0,0
57300,"Amnesia: The Dark Descent",0,0
60350,"Glowfish",0,0
65930,"The Bureau: XCOM Declassified",1313,1517048675
70000,"Dino D-Day",2249,1517104825
72850,"The Elder Scrolls V: Skyrim",2169,1518880926
80360,"Blackwell Deception",2159,1517112673
91200,"Anomaly Warzone Earth",1140,1517112673
99300,"Renegade Ops",0,0
99410,"Garshasp: Temple of the Dragon",0,0
108200,"Ticket to Ride",1066,1517112673
113020,"Monaco",237,1505010251
201570,"Really Big Sky",166,1518883081
201700,"DiRT Showdown",0,0
202090,"Magicka: Wizard Wars",82,1471939132
202200,"Galactic Civilizations II: Ultimate Edition",0,0
203750,"Binary Domain",0,0
203770,"Crusader Kings II",472,1523070029
207610,"The Walking Dead",234,1505034916
208140,"ENDLESS Space™ - Definitive Edition",0,0
209000,"Batman™: Arkham Origins",289,1523002310
209080,"Guns of Icarus Online",136,1519357152
209670,"Cortex Command",256,1523002310
210770,"Sanctum 2",153,1522996134
211160,"Viking: Battle for Asgard",0,0
211260,"They Bleed Pixels",153,1522996134
215690,"Zeno Clash 2",146,1522995783
217140,"Rise of the Triad",220,1523002310
218620,"PAYDAY 2",559,1523073652
218820,"Mercenary Kings",313,1526903165
219640,"Chivalry: Medieval Warfare",512,1523070031
224760,"FEZ",80,1397570354
225260,"Brütal Legend",537,1523094295
226840,"Age of Wonders III",0,0
227260,"DisplayFusion",42,1626270829
228200,"Company of Heroes ",363,1523070033
231430,"Company of Heroes 2",786,1508339077
232050,"Eador. Masters of the Broken World",323,1524927432
233130,"Shadow Warrior",332,1523036213
233510,"Lunnye Devitsy",326,1523070794
233530,"Wake",368,1523159679
235900,"RPG Maker XP",0,0
236150,"Starpoint Gemini 2",2488,1497362604
236830,"Red Orchestra 2: Heroes of Stalingrad - Single Player",0,0
236870,"HITMAN™",297,1523125833
238320,"Outlast",233,1523107312
239200,"Amnesia: A Machine for Pigs",0,0
239450,"Gun Monkeys",233,1523107312
251950,"WWII Online",0,0
252130,"Divide by Sheep",0,0
252150,"Grimm",233,1523107312
255520,"Viscera Cleanup Detail: Shadow Warrior",0,0
261110,"Killer is Dead",243,1523125833
261180,"Lethal League",276,1523159679
262280,"Dungeons 2",301,1523193937
263060,"Blockstorm",278,1523198367
265590,"The Red Solstice",242,1523193937
266310,"GameGuru Classic",0,0
269310,"Infectonator : Survivors",242,1523193937
269790,"DreadOut",244,1523198367
269890,"AR-K",243,1523198367
270550,"Yet Another Zombie Defense",285,1523210736
271550,"Tribloos 2",318,1523242512
275390,"Guacamelee! Super Turbo Championship Edition",0,0
275490,"Canyon Capers",284,1523269292
279560,"Dracula 4 and  5 - Special Steam Edition",0,0
282100,"Fearless Fantasy",0,0
282800,"100% Orange Juice",0,0
286570,"F1 2015",322,1523274263
289090,"Ampu-Tea",249,1523269292
289130,"ENDLESS Legend™",0,0
289690,"Lara Croft and the Temple of Osiris",0,0
290340,"Armello",2344,1510466526
294040,"Loot Hero DX",287,1523274263
299460,"Woodle Tree Adventures",248,1523269292
299950,"GET EVEN",0,0
304240,"Resident Evil",3,1609389123
304930,"Unturned",0,0
308040,"Back to Bed",363,1523261820
308600,"Skillshot City",0,0
310560,"DiRT Rally",0,0
311860,"Data Hacker: Initiation",259,1523294086
312960,"Starion Tactics",264,1523300652
321040,"DiRT 3 Complete Edition",312,1523289450
323580,"Jotun: Valhalla Edition",492,1523352529
324650,"Gemini: Heroes Reborn",0,0
325180,"AppGameKit Classic",0,0
327410,"A Bird Story",234,1524245040
331600,"ONE PIECE PIRATE WARRIORS 3",387,1498661346
334210,"Fortified",0,0
334290,"Gates of Horizon",234,1524245040
335190,"200% Mixed Juice!",0,0
339340,"Resident Evil 0",11,1609391034
340000,"Headlander",453,1523352529
340300,"Teddy Floppy Ear - Mountain Adventure",453,1523352529
343360,"Particula",371,1523352529
343990,"Anti-Opoly",0,0
344800,"World of Mixed Martial Arts 3",0,0
350810,"Pixel Puzzles 2: Anime",249,1523347248
351510,"Quiplash",0,0
351940,"The Descendant",264,1523433708
356160,"The Emptiness Deluxe Edition",0,0
359060,"Switch Galaxy Ultra",313,1523472299
360620,"Spellsworn",273,1523607637
360970,"Heaven Forest NIGHTS",312,1523627061
362610,"High On Racing",312,1523627061
363480,"Grave Prosperity: Redux- part 1",0,0
365450,"Hacknet",273,1523607637
366220,"Wurm Unlimited",272,1523607637
